package	version	architecture	status
libsemanage2	3.3-1build2	arm64	install ok installed
libsensors-config	1:3.6.0-7ubuntu1	all	install ok installed
libsensors5	1:3.6.0-7ubuntu1	arm64	install ok installed
libsepol2	3.3-1build1	arm64	install ok installed
libslirp0	4.6.1-1build1	arm64	install ok installed
libsm-dev	2:1.2.3-1build2	arm64	install ok installed
libsm6	2:1.2.3-1build2	arm64	install ok installed
libsmartcols1	2.37.2-4ubuntu3.5	arm64	install ok installed
libsndfile1	1.0.31-2ubuntu0.2	arm64	install ok installed
libsnmp-base	5.9.1+dfsg-1ubuntu2.9	all	install ok installed
libsnmp40	5.9.1+dfsg-1ubuntu2.9	arm64	install ok installed
libspice-server1	0.15.0-2ubuntu4	arm64	install ok installed
libsqlite3-0	3.37.2-2ubuntu0.5	arm64	install ok installed
libsrecord0	1.64-3	arm64	install ok installed
libss2	1.46.5-2ubuntu1.2	arm64	install ok installed
libssh-4	0.9.6-2ubuntu0.22.04.7	arm64	install ok installed
libssl-dev	3.0.2-0ubuntu1.25	arm64	install ok installed
libssl3	3.0.2-0ubuntu1.25	arm64	install ok installed
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
libstdc++6	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libsystemd0	249.11-0ubuntu3.21	arm64	install ok installed
libtasn1-6	4.18.0-4ubuntu0.2	arm64	install ok installed
libthai-data	0.1.29-1build1	all	install ok installed
libthai0	0.1.29-1build1	arm64	install ok installed
libtiff5	4.3.0-6ubuntu0.13	arm64	install ok installed
libtinfo6	6.3-2ubuntu0.1	arm64	install ok installed
libtirpc-common	1.3.2-2ubuntu0.1	all	install ok installed
libtirpc-dev	1.3.2-2ubuntu0.1	arm64	install ok installed
libtirpc3	1.3.2-2ubuntu0.1	arm64	install ok installed
libtsan0	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
libtsk19	4.11.1+dfsg-1	arm64	install ok installed
libubootenv-tool	0.3.2-1build1	arm64	install ok installed
libubootenv0.1	0.3.2-1build1	arm64	install ok installed
libubsan1	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libudev1	249.11-0ubuntu3.21	arm64	install ok installed
libunistring2	1.0-1	arm64	install ok installed
libunwind8	1.3.2-2build2.1	arm64	install ok installed
liburing2	2.1-2build1	arm64	install ok installed
libusb-1.0-0	2:1.0.25-1ubuntu2	arm64	install ok installed
libusbredirparser1	0.11.0-2build1	arm64	install ok installed
libuuid1	2.37.2-4ubuntu3.5	arm64	install ok installed
libvhdi1	20210425-1build1	arm64	install ok installed
libvmdk1	20200926-2build1	arm64	install ok installed
libvorbis0a	1.3.7-1build2	arm64	install ok installed
libvorbisenc2	1.3.7-1build2	arm64	install ok installed
libvulkan-dev	1.3.204.1-2	arm64	install ok installed
libvulkan1	1.3.204.1-2	arm64	install ok installed
libwacom-bin	2.2.0-1	arm64	install ok installed
libwacom-common	2.2.0-1	all	install ok installed
libwacom9	2.2.0-1	arm64	install ok installed
libwayland-client0	1.20.0-1ubuntu0.1	arm64	install ok installed
libwayland-cursor0	1.20.0-1ubuntu0.1	arm64	install ok installed
libwayland-egl1	1.20.0-1ubuntu0.1	arm64	install ok installed
libwayland-server0	1.20.0-1ubuntu0.1	arm64	install ok installed
libwebp7	1.2.2-2ubuntu0.22.04.2	arm64	install ok installed
libwrap0	7.6.q-31build2	arm64	install ok installed
libx11-6	2:1.7.5-1ubuntu0.3	arm64	install ok installed
